"","g","year","month","age","location","opp","minutes","seconds","result","fg","fga","fg_percent","three_pts","three_pa","three_pts_percent","ft","fta","ft_percent","orb","drb","trb","ast","stl","blk","tov","pf","pts","gm_sc","pm","ts_percent","efg_percent","orb_percent","drb_percent","trb_percent","ast_percent","stl_percent","blk_percent","tov_percent","usg_percent","ortg","drtg","bpm"
"282",54,2019,2,23,"Away","PHI",35,19,"L",11,22,0.5,1,5,0.2,4,4,1,2,8,10,10,3,0,4,2,27,25,2,0.568,0.523,6.3,27.9,16.6,43.8,4,0,14.4,33.8,110,108,11.6
"283",55,2019,2,23,"Home","MIA",36,29,"W",7,16,0.438,3,3,1,6,7,0.857,0,12,12,4,0,0,7,3,23,12.4,16,0.603,0.531,0,37.6,17.2,18.3,0,0,26.8,31.3,91,91,-1.1
"284",56,2019,2,23,"Home","SAC",36,12,"W",7,17,0.412,0,2,0,6,6,1,4,14,18,11,1,0,4,1,20,22.2,2,0.509,0.412,11,37.9,24.6,40.8,1.3,0,16.9,25.5,113,107,8.2
"285",57,2019,2,24,"Away","DAL",30,25,"W",7,16,0.438,1,2,0.5,4,4,1,5,8,13,8,1,0,4,4,19,17.5,3,0.535,0.469,14.1,25.8,19.5,40.8,1.5,0,18.4,27,114,101,6.2
"286",58,2019,2,24,"Home","LAC",27,42,"W",9,16,0.563,0,2,0,4,6,0.667,3,13,16,3,3,1,6,5,22,17.4,14,0.59,0.563,12.1,44.2,29.5,18.3,4.7,2.6,24.4,34.9,97,75,3.7
"287",59,2019,2,24,"Home","OKC",34,47,"W",11,25,0.44,4,7,0.571,10,13,0.769,1,8,9,10,0,1,2,2,36,29.7,22,0.586,0.52,3.2,22.1,13.4,53.4,0,2.4,6.1,37.2,128,106,16.1
"288",60,2019,2,24,"Home","UTA",31,41,"L",5,15,0.333,0,1,0,6,7,0.857,6,7,13,7,0,0,5,5,16,11.3,2,0.442,0.333,18.2,21.6,19.9,32.7,0,0,21.7,28.8,95,114,-1.3
"289",61,2019,3,24,"Home","NOP",21,34,"L",7,11,0.636,1,2,0.5,5,6,0.833,4,5,9,7,2,2,2,4,20,23.7,6,0.733,0.682,19.8,24.2,22,66.5,4.1,7.2,12.8,28.8,145,100,23.9
"290",62,2019,3,24,"Away","SAS",38,25,"L",10,14,0.714,2,2,1,0,0,NA,4,6,10,6,0,0,3,2,22,21.2,10,0.786,0.786,11.1,18.3,14.5,26.3,0,0,17.6,19.5,138,111,8
"291",63,2019,3,24,"Away","LAL",35,24,"W",3,5,0.6,0,1,0,6,8,0.75,4,13,17,8,3,0,2,1,12,21.8,16,0.704,0.6,10,42,24,26.5,4.2,0,19,12.6,146,94,10.6
"292",64,2019,3,24,"Away","GSW",28,48,"L",5,10,0.5,1,1,1,5,8,0.625,3,3,6,4,4,1,2,2,16,17.5,-29,0.592,0.55,10,12.8,11.2,27,6.5,3.4,12.9,21.7,120,108,12.2
"293",65,2019,3,24,"Home","MIN",26,24,"W",9,14,0.643,0,0,NA,0,0,NA,4,4,8,7,0,1,4,4,18,15.8,2,0.643,0.643,24.2,17.7,20.5,36.7,0,3.1,22.2,31,124,115,-0.5
"294",66,2019,3,24,"Home","DAL",29,58,"W",4,9,0.444,0,2,0,3,4,0.75,2,12,14,8,0,1,2,1,11,14.8,-12,0.511,0.444,8.2,42.7,26.7,39.3,0,3.2,15.7,20.5,115,105,6.3
"295",67,2019,3,24,"Home","IND",34,21,"W",11,21,0.524,2,7,0.286,2,2,1,3,4,7,5,0,0,4,3,26,17.3,5,0.594,0.571,10,14.7,12.2,29.6,0,0,15.5,35.9,109,116,3.1
"296",68,2019,3,24,"Away","BOS",35,52,"W",9,14,0.643,3,7,0.429,0,0,NA,2,11,13,7,2,3,3,2,21,24.7,15,0.75,0.75,7.4,28.3,19.8,27.6,2.7,7.4,17.6,19.7,136,94,16.4
"297",69,2019,3,24,"Away","WAS",34,56,"W",6,12,0.5,2,4,0.5,1,1,1,3,3,6,11,0,0,1,1,15,18.3,-10,0.603,0.583,10.1,11.1,10.6,40,0,0,7.4,18.5,146,125,7.3
"298",70,2019,3,24,"Away","NYK",28,13,"W",8,20,0.4,1,3,0.333,4,6,0.667,4,13,17,5,0,0,1,3,21,17.4,17,0.464,0.425,12.6,41.7,27,32.2,0,0,4.2,35.8,114,95,5
"299",71,2019,3,24,"Away","IND",29,32,"L",8,16,0.5,1,3,0.333,2,2,1,3,8,11,8,1,4,1,2,19,23.1,-19,0.563,0.531,9,36.1,19.9,65,1.7,8.9,5.6,24.8,127,116,21
"300",72,2019,3,24,"Home","DET",33,18,"W",10,24,0.417,0,5,0,3,5,0.6,3,12,15,2,0,0,3,3,23,12.3,-9,0.439,0.417,8.6,27.9,19.3,12.8,0,0,10.3,38.3,87,91,0.1
"301",73,2019,3,24,"Away","HOU",24,52,"L",7,14,0.5,0,0,NA,2,2,1,3,5,8,6,0,2,2,3,16,15,-1,0.538,0.5,13.8,23,18.4,66.2,0,8.2,11.8,30.5,108,117,12.6
"302",74,2019,3,24,"Away","OKC",34,21,"W",10,16,0.625,1,3,0.333,2,2,1,2,14,16,3,1,0,2,3,23,21.3,7,0.681,0.656,9,45.5,30.2,12.3,1.5,0,10.6,26.5,130,105,5.5
"303",75,2019,3,24,"Home","WAS",30,15,"L",11,15,0.733,0,2,0,1,3,0.333,2,12,14,4,2,1,2,3,23,23.4,1,0.705,0.733,5.6,35.3,20,36.2,3.2,2.3,10.9,25.8,128,85,17.8
"304",76,2019,4,24,"Away","GSW",27,42,"L",4,10,0.4,0,3,0,2,3,0.667,2,3,5,6,4,0,6,1,10,8.3,-10,0.442,0.4,6.4,12.7,9.1,35.8,6.5,0,34.6,24.3,73,104,-1.5
"305",77,2019,4,24,"Home","SAS",28,40,"W",9,10,0.9,0,1,0,2,3,0.667,0,11,11,9,0,0,5,3,20,19.6,18,0.883,0.9,0,36.8,21.7,47.2,0,0,30.6,25.7,125,87,11.9
"306",78,2019,4,24,"Home","POR",36,45,"W",9,15,0.6,1,4,0.25,3,4,0.75,3,10,13,9,2,1,2,3,22,25.6,6,0.656,0.633,9.8,33.5,21.5,37.6,2.8,2.3,10.7,23.2,139,111,12.8
"307",79,2019,4,24,"Away","UTA",16,3,"L",1,6,0.167,0,0,NA,0,2,0,2,3,5,2,1,1,1,6,2,-0.6,-15,0.145,0.167,14.2,24.2,18.9,15.7,3,5.9,12.7,22.5,57,112,-15.1
"308",80,2019,4,24,"Home","MIN",36,35,"W",13,26,0.5,1,7,0.143,2,2,1,3,11,14,2,3,0,4,4,29,20.2,16,0.539,0.519,8.6,30.1,19.5,12,4.2,0,13,38.1,100,93,3.9
"309",1,2019,10,24,"Away","POR",23,54,"W",8,14,0.571,3,5,0.6,1,2,0.5,4,9,13,2,0,0,4,4,20,14.3,14,0.672,0.679,17.5,38.5,28.1,22.4,0,0,21.2,33.9,108,97,4.1
"310",2,2019,10,24,"Home","PHO",40,32,"W",8,18,0.444,0,2,0,7,9,0.778,3,11,14,12,1,2,5,4,23,22.4,8,0.524,0.444,7.5,30.6,18.5,61.4,1.2,4.5,18.5,28.9,104,96,9.9
"311",3,2019,10,24,"Away","SAC",28,27,"W",4,15,0.267,0,5,0,1,1,1,3,10,13,2,2,1,2,4,9,5.7,-3,0.291,0.267,9.7,33.7,21.5,11.5,3.7,3.1,11.5,25.1,74,88,-4.9
"312",4,2019,10,24,"Home","DAL",32,56,"L",4,8,0.5,0,1,0,2,2,1,2,8,10,10,3,0,4,3,10,14.6,15,0.563,0.5,6.3,25.3,15.8,39.2,4.8,0,31.1,17.6,112,109,8
"313",5,2019,10,24,"Away","NOP",27,8,"L",5,6,0.833,0,1,0,3,3,1,0,6,6,6,1,0,2,3,13,14.6,-16,0.888,0.833,0,33.2,14.7,31.1,1.7,0,21.5,15,148,118,7.5
