Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
23,,2017-12-04,22-288,DEN,@,DAL,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,,2017-12-06,22-290,DEN,@,NOP,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,2017-12-08,22-292,DEN,@,ORL,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,,2017-12-10,22-294,DEN,@,IND,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,,2017-12-12,22-296,DEN,@,DET,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,,2017-12-13,22-297,DEN,@,BOS,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
29,22,2017-12-15,22-299,DEN,,NOP,W (+6),0,22:12,6,13,.462,1,2,.500,0,0,,3,8,11,4,0,0,1,2,13,11.8,-4
30,23,2017-12-18,22-302,DEN,@,OKC,L (-1),0,25:13,5,9,.556,0,2,.000,3,4,.750,2,7,9,2,2,0,1,2,13,13.4,+3
31,24,2017-12-20,22-304,DEN,,MIN,L (-8),1,36:05,6,12,.500,2,6,.333,8,9,.889,0,6,6,4,0,2,10,3,22,10.4,-1
32,25,2017-12-22,22-306,DEN,@,POR,W (+17),1,37:08,12,21,.571,2,6,.333,1,1,1.000,3,6,9,6,0,2,4,4,27,21.0,+29
33,26,2017-12-23,22-307,DEN,@,GSW,W (+15),1,36:38,9,16,.563,0,3,.000,0,0,,3,6,9,4,1,1,2,0,18,16.8,+17
34,27,2017-12-26,22-310,DEN,,UTA,W (+24),1,25:33,4,10,.400,1,3,.333,4,4,1.000,2,5,7,5,1,0,1,5,13,12.0,+11
35,28,2017-12-27,22-311,DEN,@,MIN,L (-3),1,41:20,5,11,.455,1,3,.333,11,12,.917,1,8,9,4,2,1,2,3,22,21.3,+1
36,29,2017-12-30,22-314,DEN,,PHI,L (-5),1,36:37,5,14,.357,1,5,.200,8,9,.889,5,8,13,6,1,3,2,0,19,22.0,+14
37,30,2018-01-03,22-318,DEN,,PHO,W (+23),1,36:23,4,6,.667,1,1,1.000,5,5,1.000,1,8,9,8,2,0,6,3,14,14.9,+24
38,31,2018-01-05,22-320,DEN,,UTA,W (+8),1,32:07,3,13,.231,1,4,.250,1,2,.500,2,8,10,4,1,0,2,3,8,4.1,+6
39,32,2018-01-06,22-321,DEN,@,SAC,L (-8),1,34:18,3,10,.300,0,4,.000,2,2,1.000,1,6,7,10,0,0,5,3,8,5.5,-13
40,33,2018-01-08,22-323,DEN,@,GSW,L (-10),1,36:09,9,16,.563,1,1,1.000,3,3,1.000,4,8,12,11,3,1,6,3,22,23.8,+2
41,34,2018-01-10,22-325,DEN,,ATL,L (-13),1,31:31,4,21,.190,0,8,.000,1,2,.500,6,6,12,7,2,3,2,3,9,7.3,-14
42,35,2018-01-12,22-327,DEN,,MEM,W (+9),1,28:08,3,8,.375,1,3,.333,7,8,.875,2,5,7,3,0,0,1,3,14,12.0,+8
43,36,2018-01-13,22-328,DEN,@,SAS,L (-32),1,30:24,8,13,.615,3,6,.500,4,4,1.000,3,6,9,7,2,0,2,2,23,25.1,-18
44,37,2018-01-16,22-331,DEN,,DAL,W (+3),1,33:24,11,23,.478,0,2,.000,7,10,.700,9,9,18,7,2,1,5,5,29,25.7,-2
